Name,Time,Cumulative PnL
StopLossHunter_Initial_4,2021-Nov-05 17:45:26.455497,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:46:27.029645,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:47:27.145222,-169.668181
StopLossHunter_Initial_4,2021-Nov-05 17:48:27.914753,-169.669381
StopLossHunter_Initial_4,2021-Nov-05 17:49:28.566810,-172.228073
StopLossHunter_Initial_4,2021-Nov-05 17:50:28.738426,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 17:51:28.991991,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 17:52:29.281954,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 17:53:29.673520,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 17:54:30.394266,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 17:55:31.849297,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 17:56:32.241992,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 17:57:33.077743,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 17:58:33.204964,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 17:59:33.821667,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:00:34.120677,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:01:34.455909,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:02:34.724229,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:03:35.633885,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:04:36.180843,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:05:36.550155,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:06:37.431329,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:07:37.769105,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:08:38.757810,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:09:39.699226,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:10:40.145160,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:11:40.381074,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:12:40.852334,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:13:41.417278,-169.749273
StopLossHunter_Initial_4,2021-Nov-05 18:14:42.205261,-171.389185
StopLossHunter_Initial_4,2021-Nov-05 18:15:42.970620,-173.740160
StopLossHunter_Initial_4,2021-Nov-05 18:16:43.723572,-177.779849
StopLossHunter_Initial_4,2021-Nov-05 18:17:45.380626,-177.788565
StopLossHunter_Initial_4,2021-Nov-05 18:18:46.425157,-177.858480
StopLossHunter_Initial_4,2021-Nov-05 18:19:48.578811,-177.858480
StopLossHunter_Initial_4,2021-Nov-05 18:20:49.567356,-177.858480
StopLossHunter_Initial_4,2021-Nov-05 18:21:50.359109,-177.858480
StopLossHunter_Initial_4,2021-Nov-05 18:22:50.875680,-177.858480
StopLossHunter_Initial_4,2021-Nov-05 18:23:51.828468,-177.858480
StopLossHunter_Initial_4,2021-Nov-05 18:24:52.289266,-177.858480
StopLossHunter_Initial_4,2021-Nov-05 18:25:52.465952,-177.858480
StopLossHunter_Initial_4,2021-Nov-05 18:26:52.583984,-177.858480
StopLossHunter_Initial_4,2021-Nov-05 18:27:52.739527,-177.858480
StopLossHunter_Initial_4,2021-Nov-05 18:28:52.853414,-177.889680
StopLossHunter_Initial_4,2021-Nov-05 18:29:53.312761,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:30:53.587156,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:31:54.313458,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:32:54.863115,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:33:55.506861,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:34:56.155226,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:35:56.433669,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:36:56.628828,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:37:57.759333,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:38:58.239262,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:39:58.933870,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:40:59.509659,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:42:00.720189,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:43:00.948412,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:44:01.305121,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:45:01.794852,-188.517955
StopLossHunter_Initial_4,2021-Nov-05 18:46:03.060329,-188.759073
StopLossHunter_Initial_4,2021-Nov-05 18:47:03.197035,-188.857710
StopLossHunter_Initial_4,2021-Nov-05 18:48:03.683525,-191.207400
StopLossHunter_Initial_4,2021-Nov-05 18:49:04.437594,-191.207400
