StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
StopLossHunter_Initial_4,2021-Nov-05 15:51:17.503770,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145261,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:24:41.029652,MSFT,-1,336.380000,0.008735,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145262,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:24:41.955512,MSFT,1,336.440000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145263,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:24:52.722597,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145264,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:24:53.554972,MSFT,1,336.370000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145265,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:24:58.629121,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145266,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:24:58.629658,MSFT,1,336.380000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145267,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:25:03.527319,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145268,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:25:08.667090,MSFT,1,336.380000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145269,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:25:13.802544,MSFT,-1,336.360000,0.008734,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145270,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:25:24.566244,MSFT,1,336.320000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145271,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:25:25.052986,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145272,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:25:25.053654,MSFT,1,338.750000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145273,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:25:34.870273,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145274,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:25:34.970086,MSFT,1,338.750000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145275,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:25:38.760517,MSFT,-1,336.300000,0.008733,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145276,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:25:47.721969,MSFT,1,338.750000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145277,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:25:55.208617,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145278,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:25:57.026317,MSFT,1,338.750000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145279,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:33:42.964054,MSFT,-1,336.330000,0.008734,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145280,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:33:44.365664,MSFT,1,338.750000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145281,,FILL
StopLossHunter_Initial_4,2021-Nov-05 16:37:49.323956,MSFT,-1,336.250000,0.008732,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145282,,FILL
